,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
1000,-0.52244,0.34996,-4.66746,-2.23768,1.95010,0.13506,Slängpolskor,-1.16350,-2.70120,-10.71402,4.07951,True,-4.94595
1001,-0.35917,-1.35961,-1.79500,-2.49332,2.09118,-1.52784,Slängpolskor,0.15207,0.18899,-8.24676,0.24843,True,-2.69333
1002,0.48598,-1.60937,-5.36662,-2.31357,2.01136,-2.04651,Polka,-0.78398,0.52913,-7.71885,2.31005,True,-0.25340
1003,-0.92236,0.54070,1.09865,-3.13577,2.74286,0.54869,Hambo,-0.70639,0.79744,-9.86398,-4.00608,True,-4.06247
1004,1.45460,-0.12662,-1.10329,-2.58170,2.48798,1.16600,Schottis,-2.37416,1.00694,-8.36936,-1.70917,True,6.72138
1005,-1.47781,-0.81865,2.14945,-2.62950,2.25517,-1.44280,Hambo,0.06681,0.68663,-11.49093,-0.66701,True,-6.31432
1006,-0.04083,-1.06912,-3.64470,-3.21710,2.87561,-0.42383,Slängpolskor,-0.30729,-0.35589,-8.52337,-1.28196,True,-2.02650
1007,1.27882,0.24894,1.61142,-2.68276,2.28601,0.58503,Schottis,0.56424,-1.38061,-7.95558,-2.28134,True,7.19982
1008,-1.66766,-0.18018,4.32505,-3.00652,2.51446,-0.18302,Hambo,0.22914,1.10533,-6.22636,-1.73569,True,-6.17579
1009,-0.36541,-0.08774,-6.71677,-2.67696,2.31833,0.44269,Slängpolskor,0.81015,0.33507,-7.50112,-1.64692,True,-5.18542
1010,-0.47716,0.62072,0.08007,-1.85632,1.74356,0.68243,Slängpolskor,-0.58649,-1.30522,-8.07544,-0.68208,False,-2.34578
1011,0.59482,-0.15819,-2.88422,-2.16966,1.86802,0.81574,Polka,-0.16469,0.36843,-6.13684,3.88894,True,1.53201
1012,0.49874,0.47097,-0.40692,-2.09442,1.91447,-0.64388,Polka,-0.56840,-2.03714,-8.71184,-1.27822,False,2.29024
1013,0.15588,-0.09618,0.17921,-2.81073,2.59337,-0.58255,Polka,-2.36988,0.70501,-8.06067,-0.60512,False,0.86900
1014,1.24736,-0.75617,-4.22671,-2.13790,1.77437,-0.50591,Schottis,-0.76775,0.45490,-10.37732,-2.77886,True,4.12345
1015,0.22297,-0.73642,1.90852,-2.51908,2.27159,-0.75946,Polka,0.98527,-1.42138,-11.91998,1.99437,True,2.06912
1016,0.60569,1.55144,1.85449,-2.32479,1.99879,1.41150,Polka,-0.48246,-0.26079,-8.86905,1.41902,True,3.95570
1017,1.69593,0.55471,0.94605,-1.83465,1.77802,0.49819,Polskor,0.87902,-1.67555,-7.87532,-2.67368,True,8.95267
1018,-0.33778,-0.27152,2.63912,-3.01312,2.58771,0.12278,Slängpolskor,-1.61939,-2.24658,-8.41855,-2.74790,True,-0.36936
1019,0.66873,-0.31896,-0.93443,-1.98643,1.69806,0.29012,Polka,0.26367,-0.12845,-10.78373,-1.78864,True,2.87644
1020,-0.13227,0.11441,4.54075,-3.01770,2.73829,0.06424,Slängpolskor,-0.02322,1.09776,-8.23169,-3.81309,True,1.60901
1021,1.76510,0.15479,-2.99356,-2.37591,2.12121,-0.09988,Polskor,1.48989,0.66153,-7.78216,-3.21688,True,7.32872
1022,-0.93901,-1.94110,4.60081,-2.44767,2.01736,-1.71297,Hambo,1.33404,-2.17292,-9.07164,-0.80500,True,-2.39466
