,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
0,Jorg,-0.21695,0.88123,-4.95144,-2.37890,2.18407,0.84635,Slängpolskor,1.70754,0.44414,-9.29924,-1.26958,True,-3.56049
1,Atsuto,-1.74145,0.02792,1.18805,-2.13850,1.94884,0.18559,Hambo,-0.42399,-0.54993,-8.93621,1.11524,True,-8.11321
2,Bob,0.82878,-0.29430,3.98977,-2.15388,2.09048,-0.26580,Schottis,1.23020,0.10881,-10.99470,-2.01507,True,6.13878
3,Jorg,-0.45922,1.38967,0.32138,-2.25580,2.04402,1.42847,Slängpolskor,-1.21911,-0.84549,-8.80555,-0.92500,True,-2.13542
4,Bob,0.89319,-1.01451,-2.80611,-1.90744,1.69157,-1.40292,Schottis,-1.93778,1.55950,-8.23288,-2.02836,True,3.06292
5,Jorg,-0.42539,-0.58487,-0.44196,-2.86337,2.49850,-0.43127,Slängpolskor,0.93740,1.59634,-9.43647,-0.58521,True,-2.34792
6,Bob,0.12997,0.37313,-2.85709,-1.68409,1.47612,-0.53721,Polka,0.09129,1.44063,-8.13029,-4.46829,True,-0.77868
7,Bob,-0.80813,-0.79283,1.79625,-3.39980,2.86166,-0.88885,Hambo,-1.59191,1.13237,-9.78377,-2.57071,True,-3.14252
8,Jorg,0.00366,0.10088,-5.54438,-2.18507,1.90830,0.14493,Polka,0.25059,-0.73481,-11.88071,1.95054,True,-2.75390
9,Jorg,-0.02607,0.57225,-5.99544,-2.28164,1.99361,0.34075,Slängpolskor,2.20352,1.96155,-7.30675,-1.95745,True,-3.12806
10,Jorg,0.42670,-1.37674,3.40647,-2.31068,2.19168,-1.07598,Polka,-0.08855,-0.31387,-8.43150,-3.08918,True,3.83674
11,Bob,1.04954,0.87579,-0.05101,-2.08748,1.85424,1.37922,Schottis,-0.46463,-0.58516,-8.24512,-3.00261,False,5.22218
12,Jorg,1.37405,-0.25264,-4.16929,-1.74623,1.64746,0.53394,Schottis,0.07718,-0.64153,-11.31291,0.90670,True,4.78561
13,Jorg,-0.54608,-0.79623,4.71445,-3.12769,2.71391,-1.75863,Slängpolskor,-1.14342,2.04248,-5.96459,-0.54028,True,-0.37318
14,Atsuto,-1.11937,-0.66812,3.00962,-1.49412,1.27507,-0.07324,Hambo,-0.44688,0.12579,-11.28909,-2.28717,True,-4.09206
15,Atsuto,-2.11670,-0.07316,4.98728,-1.55355,1.35364,-0.26482,Hambo,-0.33056,1.06640,-10.10533,2.73758,True,-8.08984
16,Bob,1.15842,-0.77816,9.70684,-3.65344,3.06557,0.63338,Schottis,1.38696,1.23711,-8.36177,-1.26696,True,10.64553
17,Jorg,-0.97070,-0.52039,2.89135,-2.10342,1.84623,-0.71070,Hambo,-2.09831,0.81670,-8.45449,0.54613,True,-3.40784
18,Jorg,0.32325,1.05588,-1.02393,-2.31303,2.09689,2.53356,Polka,1.38469,1.99140,-6.47525,-1.45784,False,1.10430
19,Jorg,-0.97476,0.00072,1.95344,-1.49341,1.41251,0.01760,Hambo,-1.95308,-1.11911,-10.55516,2.81010,True,-3.89706
20,Atsuto,-0.16965,-0.11802,-0.15982,-1.45628,1.28237,-0.17389,Slängpolskor,0.40142,-0.68580,-10.13011,1.75619,False,-0.92815
21,Atsuto,0.72073,-0.85540,-7.33139,-1.86241,1.71021,-1.12231,Polka,0.36369,1.02272,-8.74829,3.15797,True,-0.06206
22,Bob,-1.04999,-0.13550,3.13582,-3.90557,3.26647,0.11689,Hambo,-0.39750,0.02430,-9.08461,-1.48944,True,-3.68202
23,Bob,-0.06540,0.06812,-2.97736,-2.15681,1.96138,-0.01647,Slängpolskor,-2.53688,2.68304,-9.47559,0.34763,True,-1.81566
24,Bob,-0.11758,-0.35199,-6.28449,-2.78180,2.46135,-1.35338,Slängpolskor,-0.00835,0.77014,-9.64542,-2.26944,True,-3.73014
25,Atsuto,-0.52025,-0.76517,-2.48853,-2.25220,1.99926,0.09349,Slängpolskor,0.04608,-0.66804,-7.26219,0.67257,True,-3.84554
26,Bob,0.78083,-0.25248,0.05564,-2.26462,1.79144,0.15232,Schottis,3.46180,-1.41016,-7.79423,-2.15601,False,3.93198
27,Jorg,-2.14619,0.09629,-1.49451,-1.58696,1.48126,-0.89155,Hambo,-2.92291,-2.28228,-6.40530,-2.45526,True,-11.47821
28,Bob,2.04850,0.59536,-3.42153,-2.58811,2.46437,0.85297,Polskor,-0.70577,-0.41694,-6.66214,-1.39900,True,8.53176
29,Jorg,-0.21867,-0.96246,-2.70557,-2.00080,1.80811,-0.09982,Slängpolskor,0.37411,-1.08633,-10.88501,0.83264,True,-2.44612
30,Jorg,1.28666,0.40884,-5.28991,-2.44920,2.15559,0.44712,Schottis,-1.89693,-0.94956,-7.93058,-0.99478,True,3.78835
31,Atsuto,1.17493,0.42380,-3.29125,-2.46515,2.21714,0.96521,Schottis,0.25934,1.26288,-7.75487,2.64733,True,4.22904
32,Jorg,0.94775,-0.36799,-1.58837,-2.16868,1.82627,-1.15826,Schottis,0.91519,1.36051,-8.46848,-2.57027,True,3.94459
33,Jorg,-0.30487,-0.79085,4.04740,-2.92575,2.45505,-0.84277,Slängpolskor,0.63263,-1.02953,-7.70030,-1.64206,True,0.49935
34,Bob,-1.13699,-0.25337,0.33495,-1.80066,1.55694,0.07374,Hambo,-0.09800,1.57462,-9.46852,0.31419,False,-5.51748
35,Jorg,-0.47614,-0.47545,-1.26514,-2.06515,1.77392,-0.78193,Slängpolskor,0.91572,1.98498,-5.56941,-1.65887,True,-3.01329
36,Bob,-1.32947,-0.46056,0.38706,-1.58214,1.41251,-0.60207,Hambo,-0.56285,0.01617,-8.66682,-1.35450,False,-6.45381
37,Jorg,-1.29161,-0.42788,-6.80003,-2.21109,2.13608,-1.22128,Hambo,-0.43900,0.14642,-6.94613,-1.85034,True,-9.85807
38,Jorg,0.05107,-0.95306,0.96464,-2.42675,2.11021,-0.90300,Polka,0.27433,-0.73652,-8.28463,2.11449,False,0.73765
39,Jorg,-0.16841,0.88695,-4.57198,-2.30071,1.91997,0.88618,Slängpolskor,1.65357,1.16744,-6.16589,-1.63103,True,-3.12805
40,Jorg,-0.42903,0.35315,0.63016,-1.85855,1.75770,-0.44512,Slängpolskor,-1.65648,0.05455,-5.96124,-0.73506,False,-1.83009
41,Jorg,0.50262,1.14672,-1.78527,-1.98107,1.92076,0.44788,Polka,0.10284,-1.66285,-7.69131,-1.01765,False,1.62049
42,Jorg,0.62842,-0.20999,4.57628,-2.03447,1.97010,-0.61277,Polka,2.61591,1.24938,-6.58767,-0.32623,True,5.43026
43,Bob,-0.45081,-0.27897,3.30301,-2.73354,2.12590,-0.82228,Slängpolskor,0.48284,-1.02886,-8.19230,-0.37063,True,-0.60256
44,Bob,0.68301,0.66778,2.58176,-3.85713,3.18392,-0.08180,Polka,-0.05644,-1.52352,-10.81855,-2.39636,True,4.70594
45,Bob,0.60748,0.89620,0.00048,-1.32152,1.28289,0.84155,Polka,1.87445,-1.75173,-9.68570,-1.95141,False,3.03766
46,Atsuto,0.77246,0.73685,-2.91371,-1.65061,1.41149,1.11999,Schottis,0.55181,0.56972,-7.98401,0.12547,True,2.40542
47,Bob,0.47799,0.35882,-7.01566,-4.01919,3.35488,-0.82383,Polka,0.45592,0.29901,-7.88253,-1.65857,True,-1.11788
48,Jorg,1.91148,0.08851,-4.72051,-2.96847,2.64001,-0.26547,Polskor,2.43442,0.55358,-4.84573,1.36611,True,7.19716
49,Bob,0.49799,0.22875,2.73600,-3.40486,2.87995,0.50011,Polka,-2.38383,1.68604,-7.94735,-1.52336,True,3.85797
50,Bob,-0.18868,1.43563,-5.52949,-2.14576,1.79389,2.11648,Slängpolskor,1.42465,-0.55367,-10.94156,-1.38610,True,-3.70817
51,Bob,-1.69103,-0.43072,1.42620,-2.56904,2.16978,0.03481,Hambo,-0.46466,1.11304,-10.17343,-0.27344,False,-7.74208
52,Jorg,-1.23611,-1.04686,5.84039,-2.54136,2.18069,-0.85938,Hambo,1.08241,0.91065,-9.66628,-1.97700,True,-3.26036
53,Atsuto,0.43256,0.03926,-1.16428,-2.84269,2.52408,0.21657,Polka,-0.09130,0.25238,-8.22937,-1.05122,True,1.58065
54,Jorg,0.49292,-1.93019,3.18881,-2.82887,2.56775,-2.00556,Polka,-0.00215,-2.93594,-11.55875,1.52114,True,4.05900
