Ts,Bus1,Bus2,Bus3,Bus4,Bus5,Bus6,Bus7,Bus8,Bus9,Event
0,0.0,5.341034569498463,2.389576293675713,-0.6359014158058568,-1.224488033180969,0.3865840056214829,-0.0377895330154659,1.5678952680176024,-0.7487424829032814,Load Bus 5-P-H
1,0.0,5.264806839798778,2.2841589071249486,-0.7008288994884158,-1.3508943718845947,0.2762107683864108,-0.1371748181086543,1.4840597878192725,-0.8252848813877778,Load Bus 5-P-H
2,0.0,5.359490961797052,2.415076931240365,-0.6201917286191256,-1.193929129027266,0.4132760813381521,-0.0137522064983417,1.5881805400777602,-0.7302252914759501,Load Bus 5-P-H
3,0.0,5.275495677475178,2.2989501455136407,-0.6917203092308453,-1.3331504885128935,0.2917003483704325,-0.1232282831388077,1.4958206928767803,-0.8145457168475628,Load Bus 5-P-H
4,0.0,5.39486384781606,2.463925512911596,-0.5900946111653167,-1.1354115446302542,0.4643989759124574,0.0322888125587462,1.6270444202802912,-0.6947525052533087,Load Bus 5-P-H
5,0.0,5.325437996181925,2.368019957640461,-0.6491801160878703,-1.2503260037056798,0.3640182783039563,-0.0581101478029515,1.5507492280739454,-0.7643950929303708,Load Bus 5-P-H
6,0.0,5.355947867130903,2.410182242130117,-0.623207214448241,-1.199794149833334,0.4081529252895138,-0.0183658977667877,1.584286747645036,-0.7337795952690245,Load Bus 5-P-H
7,0.0,5.346175294643126,2.396679981683424,-0.6315253245539356,-1.215974528295127,0.3940198794737814,-0.0310933169362926,1.5735459088055543,-0.7435842235792862,Load Bus 5-P-H
8,0.0,5.3633509741975525,2.420409057082232,-0.6169066910424617,-1.1875402616859947,0.4188569721432533,-0.0087262583335244,1.5924224060333507,-0.726353317082575,Load Bus 5-P-H
9,0.0,5.359928931913194,2.4156819520905928,-0.6198189880180246,-1.1932041866112268,0.4139093351194211,-0.0131819232192934,1.5886618477607353,-0.7297859510148493,Load Bus 5-P-H
10,0.0,5.286001465343097,2.313485094127961,-0.6827690783857302,-1.315716498629723,0.3069205878953712,-0.1095239335390759,1.5073785009148677,-0.8039924428635514,Load Bus 5-P-H
11,0.0,5.315146783862425,2.35379273336056,-0.6579435324781449,-1.2673820093409869,0.3491237277997736,-0.0715224237747376,1.539433620440776,-0.7747256239507209,Load Bus 5-P-H
12,0.0,5.24439665986083,2.255906719270217,-0.7182255412948317,-1.3847932801752494,0.2466219871278188,-0.163815090478986,1.46159768624586,-0.8457968163719428,Load Bus 5-P-H
13,0.0,5.278852962279488,2.3035953315799613,-0.6888596590886958,-1.3275785423322335,0.2965646471339731,-0.1188484887371445,1.4995143485394928,-0.8111730440039467,Load Bus 5-P-H
14,0.0,5.337395302934501,2.384546966877224,-0.6389995704835708,-1.2305158397265978,0.3813193605237878,-0.0425304498903822,1.563894778581554,-0.7523944427075137,Load Bus 5-P-H
15,0.0,5.3424729982090255,2.391564050349713,-0.6346769072869243,-1.2221057233484662,0.38866473709904,-0.0359157827360184,1.5694764162771468,-0.7472991012506108,Load Bus 5-P-H
16,0.0,5.282362564258868,2.308450942867826,-0.6858693721013848,-1.3217544533590608,0.3016491940035097,-0.1142703488153184,1.5033753996413393,-0.8076475699499929,Load Bus 5-P-H
17,0.0,5.326449200945714,2.3694177595820136,-0.6483191008030113,-1.2486504026825445,0.3654815956784893,-0.0567924402477505,1.5518610032170066,-0.7633801252867357,Load Bus 5-P-H
18,0.0,5.318618894395044,2.358593113581945,-0.6549867342339811,-1.2616269179350748,0.3541493694691062,-0.0669969576114514,1.543251525417673,-0.771240039270381,Load Bus 5-P-H
